Language,Audio Path,WER,BLEU,BERTScore,Processing Time (s)
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp4avr8214.wav,0.654,0.153,0.893,4.38
hi_in,C:\Users\prakh\AppData\Local\Temp\tmparvjm8fn.wav,0.6,0.083,0.937,2.36
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp1tgwj9ze.wav,0.83,0.013,0.819,24.98
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpql2n6v92.wav,0.571,0.305,0.914,3.84
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpsi75kbr1.wav,1.048,0.458,0.946,2.24
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpsur414x5.wav,0.677,0.182,0.918,5.17
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpx124xz8l.wav,0.643,0.036,0.855,2.53
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpwsde0giw.wav,0.533,0.037,0.88,2.95
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpoqmawqi9.wav,0.548,0.691,0.98,4.42
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpt34nosiw.wav,0.442,0.352,0.938,5.78
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpsmxfkse_.wav,0.55,0.182,0.944,3.49
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpbpmx0wwn.wav,1.031,0.158,0.879,2.55
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpaojw2eev.wav,1.05,0.452,0.969,1.86
hi_in,C:\Users\prakh\AppData\Local\Temp\tmptepriou4.wav,0.407,0.164,0.91,4.97
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp7rikjic9.wav,0.714,0.36,0.896,3.31
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpe7y2os99.wav,0.951,0.016,0.759,32.36
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpge8mb3qg.wav,1.0,0,0.814,28.07
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpxecnp97q.wav,1.0,0.014,0.812,6.85
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpzrrh0o0a.wav,0.5,0.056,0.915,4.15
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpdbn_8oaf.wav,0.531,0.295,0.932,5.01
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpvcd_2d2x.wav,0.562,0.182,0.898,4.29
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpkn2ncpr7.wav,0.792,0.026,0.905,2.75
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpkk5o824c.wav,0.667,0.025,0.821,13.88
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpkkbs6mpg.wav,1.105,0.588,0.946,1.79
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp6cy8nzjs.wav,0.333,0.699,0.989,2.61
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp68e88goa.wav,0.636,0.431,0.953,3.43
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpyrnl08qu.wav,0.615,0.265,0.922,3.89
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpi15nxfqm.wav,0.806,0.012,0.781,2.25
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpp9008q78.wav,0.559,0.153,0.93,4.74
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp516licdd.wav,0.677,0.018,0.863,5.17
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpiyro_8kc.wav,0.5,0.249,0.926,3.58
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpvtj4z0v6.wav,0.393,0.627,0.948,3.76
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp6248lgaz.wav,0.583,0.048,0.89,3.75
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpdf33px1q.wav,0.778,0.016,0.839,4.35
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpw00uet_r.wav,0.478,0.44,0.958,4.04
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp140ah775.wav,1.077,0.054,0.921,1.32
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpbj8cvyxv.wav,1.0,0.329,0.908,1.81
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp91xyujrv.wav,0.6,0.139,0.94,3.0
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpp5x0kjth.wav,0.714,0.747,0.986,3.05
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpej_a45d_.wav,0.895,0.391,0.961,3.3
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp03m_v5uj.wav,0.875,0.086,0.906,8.7
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp4insz4i2.wav,0.611,0.27,0.907,4.98
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpto1wryez.wav,0.714,0.038,0.869,11.1
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp0kc3wyhz.wav,1.0,0.511,0.971,1.48
hi_in,C:\Users\prakh\AppData\Local\Temp\tmph4qcsosb.wav,0.63,0.051,0.889,4.23
hi_in,C:\Users\prakh\AppData\Local\Temp\tmpypotgxzt.wav,0.353,0.919,0.988,2.68
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp9bia54ye.wav,0.538,0.051,0.877,2.43
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp9iap9m57.wav,0.571,0.029,0.859,2.17
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp9fgn9yrt.wav,0.524,0.246,0.918,3.67
hi_in,C:\Users\prakh\AppData\Local\Temp\tmp_fcobdrr.wav,0.531,0.19,0.924,5.03
